id,name,lat,lon,subway,suburban
693219,"Reinskamp, Hamburg",53.544328,10.127238,False,False
693222,"Aschenputtelstraße, Hamburg",53.562477,10.119642,False,False
693238,"Spliedtring, Hamburg",53.562504,10.108658,False,False
693271,"Rudolf-Roß-Allee, Hamburg",53.558351,10.10303,False,False
693433,"Sonnenland, Hamburg",53.536768,10.134699,False,False
693521,"Werkcentrum Elbinsel, Hamburg",53.519949,9.999627,False,False
693550,"Neuländer Hauptdeich, Hamburg",53.47014,9.994863,False,False
693551,"Neuländer Weg, Hamburg",53.46293,10.004437,False,False
693558,"Großmoordamm 121, Hamburg",53.451703,10.009264,False,False
693683,"Freudenthalweg, Hamburg",53.438669,9.987357,False,False
693725,"Heimfeld (S), Hamburg",53.465259,9.962502,False,True
693854,"Schellerdamm, Hamburg",53.465933,9.986845,False,False
694260,"Hermann-Wüsthof-Ring (West), Hamburg",53.497386,10.101673,False,False
694382,"St.-Michael-Kirche, Hamburg",53.483282,10.225059,False,False
694405,"An der Pollhofsbrücke, Hamburg",53.479704,10.231145,False,False
694419,"Ulmenliet, Hamburg",53.495229,10.202622,False,False
694423,"Sanmannreihe, Hamburg",53.49789,10.208132,False,False
694551,"Rahel-Varnhagen-Weg, Hamburg",53.48801,10.174405,False,False
694574,"Wiesnerring, Hamburg",53.482572,10.200087,False,False
694630,"Havighorster Redder (West), Hamburg",53.527446,10.135598,False,False
694640,"Grandkoppel, Hamburg",53.503921,10.191062,False,False
694651,"Boberg, Hamburg",53.514421,10.167312,False,False
694653,"Steinbeker Grenzdamm, Hamburg",53.524111,10.150089,False,False
694658,"Kirchsteinbek, Hamburg",53.529864,10.129207,False,False
694667,"Oststeinbek Willinghusener Weg, Hamburg",53.542845,10.1523,False,False
694691,"Werner-Witt-Straße (Süd), Hamburg",53.493737,10.106545,False,False
694699,"Boberger Furtweg, Hamburg",53.506546,10.163932,False,False
694703,"Friedrich-Frank-Bogen (Nord), Hamburg",53.494114,10.179654,False,False
694724,"Maler- und Lackierer-Museum, Hamburg",53.521477,10.118779,False,False
694727,"Schule Billbrookdeich, Hamburg",53.532885,10.111022,False,False
694728,"Billstieg, Hamburg",53.534098,10.10846,False,False
694763,"Beim Bieberhof, Hamburg",53.48535,10.072161,False,False
699576,"Billwiese, Hamburg",53.491229,10.188446,False,False
699690,"Langbargheide (Süd), Hamburg",53.593175,9.891262,False,False
701162,"Veddel (Westseite) (S), Hamburg",53.523149,10.0117,False,True
895001,"Sandwisch, Hamburg",53.515041,10.074741,False,False
895186,"Eidelstedt Zentrum (Bus), Hamburg",53.610201,9.901142,False,False
